pdwrk,agea,gndr,agepnt,ttminpnt,acchome,chldo12,hhlio12,marsts,domicil,hinctnta,health,hlthhmp,ipadvnt,hincfel,sclact,ipcrtiv,ipmodst,hincsrca,mnactp
0,24,2,60,6666,1,0,6,6,4,88,2,3,3,1,2,2,5,1,66
0,58,1,90,240,1,1,2,66,4,7,2,1,3,2,1,2,3,1,66
1,35,1,666,6666,0,0,6,4,1,7,1,3,7,2,2,2,2,1,66
1,61,1,666,6666,1,0,6,6,2,6,1,3,5,1,2,3,3,1,66
1,46,2,65,30,1,1,1,66,1,6,2,2,3,1,3,2,3,1,66
1,54,1,79,20,1,2,1,66,3,9,2,3,3,1,2,3,3,1,66
1,22,1,62,6666,1,0,6,6,4,5,2,3,1,3,4,1,4,1,66
1,29,1,666,6666,1,88,6,6,1,88,2,3,3,3,3,2,8,88,66
0,64,1,666,6666,1,0,6,66,5,9,2,3,4,1,2,2,2,1,66
1,62,1,89,30,1,0,6,6,2,3,2,3,4,1,2,2,4,1,66
0,20,1,56,6666,1,0,6,6,4,7,1,3,2,2,3,2,3,1,66
1,43,1,75,5,1,0,6,6,3,4,2,2,2,3,3,1,2,1,1
1,33,2,63,10,1,0,6,66,4,10,1,3,4,1,2,3,2,1,1
1,21,1,49,6666,1,0,6,6,4,8,1,3,1,1,3,3,3,1,66
0,33,1,51,50,1,1,9,66,4,9,2,3,3,1,3,1,4,1,8
1,64,1,666,6666,1,4,1,66,1,1,2,3,3,2,1,5,1,5,66
1,50,2,75,20,1,2,1,66,4,6,4,2,1,2,3,2,2,1,66
0,48,1,69,15,1,2,2,66,4,7,2,3,4,1,3,3,2,1,66
0,45,2,666,6666,1,1,1,66,4,88,2,3,2,2,4,3,4,1,66
0,55,2,666,6666,1,3,2,66,4,77,3,2,6,2,2,2,3,8,66
0,18,2,49,5,1,0,6,6,2,88,2,3,4,2,1,1,1,8,66
1,35,2,71,300,1,0,6,6,4,7,2,3,5,1,3,2,2,1,66
1,64,1,666,6666,1,3,2,1,3,6,1,3,2,1,4,1,2,1,66
0,22,1,52,6666,1,0,6,6,4,88,2,3,1,1,3,2,2,1,66
0,25,2,52,5,1,0,6,6,2,10,1,3,4,1,3,4,3,2,66
1,51,1,75,2,1,2,1,3,3,5,2,3,4,3,3,4,2,1,66
1,44,2,666,6666,1,0,6,66,3,8,2,3,4,2,2,1,1,2,66
1,44,2,67,5,1,2,1,6,4,9,2,3,3,1,2,2,2,1,8
1,56,1,666,6666,1,3,1,66,4,10,1,3,3,1,4,3,3,1,66
0,53,2,80,240,1,1,2,66,3,1,3,2,5,3,2,2,2,1,66
1,42,2,666,6666,1,1,1,6,3,9,2,3,4,1,3,3,2,1,66
1,25,2,54,6666,1,0,6,6,3,10,2,3,2,1,4,2,2,2,66
1,54,1,81,5,1,4,1,66,4,7,2,3,6,2,3,2,1,1,66
1,26,1,55,6666,1,0,6,6,4,10,1,3,4,1,2,3,2,1,66
1,37,1,68,60,1,0,6,66,2,10,1,3,2,1,3,1,3,1,66
1,59,1,666,6666,1,2,2,66,4,5,3,1,6,2,2,4,2,1,66
1,32,1,48,1620,1,0,6,66,4,3,1,3,4,1,2,5,3,1,66
1,50,1,67,15,1,2,1,66,3,8,2,2,5,4,2,2,3,1,66
0,50,1,666,6666,1,0,6,3,4,88,2,3,5,2,2,2,3,2,66
1,39,2,67,60,1,0,6,6,1,2,4,2,3,4,2,1,3,2,66
0,43,1,666,6666,1,0,6,6,1,7,2,3,2,2,4,1,2,1,66
1,32,1,66,10,1,0,6,66,1,6,2,2,4,3,2,4,1,1,66
1,40,1,65,10,1,0,6,66,3,9,1,3,4,1,3,2,2,1,1
1,57,1,81,90,1,2,1,66,4,10,2,3,3,1,2,1,4,7,66
0,29,2,62,10,1,0,6,66,4,8,2,2,4,2,2,3,2,1,1
1,47,2,75,14,1,2,1,4,4,77,2,3,5,2,4,1,1,77,66
1,27,1,56,420,1,0,6,6,3,7,1,3,2,2,3,3,4,1,66
1,46,2,82,10,1,4,1,66,3,7,3,2,6,3,2,2,1,1,66
1,38,1,69,390,1,0,6,6,3,7,2,3,6,2,4,2,2,1,8
1,62,2,83,75,1,2,2,66,4,7,2,3,4,2,3,1,2,2,66
1,39,1,63,40,1,2,9,6,2,5,2,3,4,1,2,4,3,1,8
0,22,1,53,6666,1,0,6,6,4,8,1,3,4,1,5,2,3,1,66
1,31,1,62,5,1,0,6,6,4,7,1,3,4,1,1,3,3,1,66
0,61,1,666,6666,1,2,2,4,3,7,1,3,5,2,4,2,2,4,66
1,33,2,55,750,1,0,6,66,2,8,2,3,6,1,1,2,2,1,66
1,32,2,66,30,1,0,6,66,2,10,1,3,3,1,4,1,4,1,66
1,55,1,82,30,1,1,1,66,1,5,2,3,3,2,3,4,5,1,1
1,53,1,79,5,1,2,1,66,5,8,2,3,2,1,3,2,2,1,66
1,65,2,666,6666,1,2,2,66,3,4,2,3,5,2,5,2,1,1,66
1,32,1,62,1020,1,0,6,4,3,5,1,3,6,1,3,2,4,1,66
0,18,1,49,6666,1,0,6,6,4,6,1,3,1,1,3,3,2,1,66
1,31,2,51,15,1,1,2,6,3,4,1,3,1,2,2,2,2,1,66
0,22,2,40,6666,1,0,6,6,3,77,2,3,1,3,1,6,2,1,66
0,20,1,50,6666,1,77,6,6,4,5,3,3,4,2,4,4,1,1,66
0,60,1,666,6666,1,3,2,66,4,7,2,3,5,2,4,1,3,1,66
1,47,1,72,25,1,2,1,66,4,10,1,3,4,1,3,2,3,1,1
1,42,2,74,40,1,1,1,4,1,6,2,2,5,1,3,2,2,1,66
0,24,1,50,6666,1,0,6,6,4,88,1,3,1,1,4,4,2,1,66
1,34,1,888,15,1,0,6,66,2,8,2,3,3,1,1,3,2,1,66
1,48,1,69,20,1,1,2,6,3,5,3,2,3,3,2,1,2,1,66
1,43,1,69,60,1,0,6,6,3,9,1,3,3,1,3,2,2,1,1
1,56,1,80,45,1,2,2,6,4,77,2,2,2,2,2,2,2,1,66
1,30,1,66,60,1,0,6,6,2,8,2,3,2,1,2,2,3,1,66
1,57,2,666,6666,1,0,6,6,4,7,3,2,3,2,2,1,3,1,66
1,23,2,43,240,1,0,6,66,1,88,4,2,3,2,3,2,5,1,66
1,61,2,87,5,1,2,2,66,4,8,2,3,4,1,2,4,2,1,66
0,63,2,666,6666,1,5,2,66,4,88,2,3,5,2,4,3,3,3,66
1,25,1,65,6666,1,0,6,6,1,5,1,3,4,2,2,4,3,1,66
0,22,2,47,100,1,0,6,6,3,4,3,2,2,4,1,3,1,6,66
1,57,1,77,6666,1,1,2,4,4,7,3,2,3,1,3,3,4,1,66
